web-scraper-order,web-scraper-start-url,Link_selector,Link_selector-href,Details,Etat,Adresse_location,Adresse_region,Prix,Image_lien-src
"1738596190-1","https://www.expat-dakar.com/machines-a-laver?page=75","MACHINE A LAVER  LG-7KG LAVAGE/4 KG SECHAGE-SILVER–A+++
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        jeudi, 18:22
                                    
                    469 900 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/machine-a-laver-lg-7kg-lavage4-kg-sechage-silver-a-2766745","MACHINE A LAVER  LG-7KG LAVAGE/4 KG SECHAGE-SILVER–A+++","Neuf","Ouakam","Dakar","469 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2a27e59ed0e6e1608fb265900422911b/-/horizon-files-prod/ed/picture/migrated/q6nvwkg/ce27cac470530dbcbb339b1d213fdd8840853504.jpg"
"1738596193-2","https://www.expat-dakar.com/machines-a-laver?page=75","SECHE LINGE SHARP -  7KG - OUVERTURE HUBLOT  15 P
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 13:01
                                    
                    199 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/seche-linge-sharp-7kg-ouverture-hublot-15-p-2766985","SECHE LINGE SHARP -  7KG - OUVERTURE HUBLOT  15 P","Neuf","Ouakam","Dakar","199 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/00a8aa67e70d642353c9cf98115711a3/-/horizon-files-prod/ed/picture/migrated/q27n48v/3f2f611b9d68be9325301bc83a7babbc9ba56f1a.jpg"
"1738596195-3","https://www.expat-dakar.com/machines-a-laver?page=75","LAVE-LINGE SAMSUNG - ADDWASH™ 9KG - WW90T654D
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        jeudi, 12:20
                                    
                    499 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/lave-linge-samsung-addwash-9kg-ww90t654d-4089816","LAVE-LINGE SAMSUNG - ADDWASH™ 9KG - WW90T654D","Neuf","Ouakam","Dakar","499 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/de11caeb85a5c55fe0d7cafad2b148b9/-/horizon-files-prod/ed/picture/qpe2wp4/449fca5fed6a5118813579c9f91fb070e71ca4eb.jpg"
"1738596198-4","https://www.expat-dakar.com/machines-a-laver?page=75","MACHINE A LAVER LG 2 EN 1 20KG F0L2CRV2T2
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        samedi, 10:53
                                    
                    1 100 000 F Cfa
                        
                        783181818
                    
                        783088888","https://www.expat-dakar.com/annonce/machine-a-laver-lg-2-en-1-20kg-f0l2crv2t2-4893853","MACHINE A LAVER LG 2 EN 1 20KG F0L2CRV2T2","Neuf","Plateau","Dakar","1 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/971dafd21ddd0ed89958853e4745c059/-/horizon-files-prod/ed/picture/q4xz25z/00e9d28ba0e1b9c41cadc46387efd9b22d485f8d.png"
"1738596200-5","https://www.expat-dakar.com/machines-a-laver?page=75","MACHINE A LAVER LG 15KG / 8KG SECHANTE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        samedi, 10:53
                                    
                    875 000 F Cfa
                        
                        783181818
                    
                        783088888","https://www.expat-dakar.com/annonce/machine-a-laver-lg-15kg-8kg-sechante-4893902","MACHINE A LAVER LG 15KG / 8KG SECHANTE","Neuf","Plateau","Dakar","875 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/49f574b600fe5e8187a1df25eeab98d5/-/horizon-files-prod/ed/picture/qv270kp/aa59e557c7cbf1a8328719042d7e8de61c7a7246.jpg"
"1738596203-6","https://www.expat-dakar.com/machines-a-laver?page=75","MACHINE A LAVER - CANDY – 8 KG – SMART TOUCH – A+++
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 11:37
                                    
                    289 900 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/machine-a-laver-candy-8-kg-smart-touch-a-5172480","MACHINE A LAVER - CANDY – 8 KG – SMART TOUCH – A+++","Neuf","Ouakam","Dakar","289 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c49431417f58a9a5d3049cd2c20e2de0/-/horizon-files-prod/ed/picture/qkrmrzwz/6f6d52b0f1bfce1997d97ff249d87b13a96493ea.jpg"
"1738596205-7","https://www.expat-dakar.com/machines-a-laver?page=75","MACHINE A LAVER - HISENSE - 16 KG - TOP- LOAD
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 11:36
                                    
                    359 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/machine-a-laver-hisense-16-kg-top-load-5204162","MACHINE A LAVER - HISENSE - 16 KG - TOP- LOAD","Neuf","Ouakam","Dakar","359 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/463a9697471c5ea71a3b4484ef0aedb6/-/horizon-files-prod/ed/picture/qder7g28/3b9dd561fabfd3865fc4c9599226b159b33c1a0d.jpg"
"1738596208-8","https://www.expat-dakar.com/machines-a-laver?page=75","MACHINE A LAVER HISENSE 10.5KG TOP- LOAD
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 11:35
                                    
                    299 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/machine-a-laver-hisense-105kg-top-load-5204174","MACHINE A LAVER HISENSE 10.5KG TOP- LOAD","Neuf","Ouakam","Dakar","299 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c06a447353cc9b25dedc2adaf7733b4e/-/horizon-files-prod/ed/picture/q8v047g9/c6c9efa7401bd5b61a6c20b3b5dbab2c8ddf6398.jpg"
"1738596213-9","https://www.expat-dakar.com/machines-a-laver?page=74","Machine À Laver Semi - Automatique 7 - 8 - 9KG
                                Neuf
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        8. janv., 11:27
                                    
                    130 000 F Cfa
                        
                        785821605","https://www.expat-dakar.com/annonce/machine-a-laver-semi-automatique-7-8-9kg-5306431","Machine À Laver Semi - Automatique 7 - 8 - 9KG","Neuf","Point-e","Dakar","130 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0845c74b63917a3e968a74906775599d/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg"
"1738596215-10","https://www.expat-dakar.com/machines-a-laver?page=74","Support Frigo ;machine à laver,cuisinière..
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        11. déc. '24, 22:11
                                    
                    12 500 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/support-frigo-machine-a-lavercuisiniere-5324008","Support Frigo ;machine à laver,cuisinière..","Neuf","Liberte 6","Dakar","12 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/938f4a1afdefacb2a3c8dae3b5bfd5eb/-/horizon-files-prod/ed/picture/q8v07009/0b5dde645afb2223667db303ecbebb3eb13e50ec.jpg"
"1738596217-11","https://www.expat-dakar.com/machines-a-laver?page=74","MACHINE A LAVER -SAMSUNG - 7KGS  – SILVER – A+
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        jeudi, 18:21
                                    
                    319 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/machine-a-laver-samsung-7kgs-silver-a-5357887","MACHINE A LAVER -SAMSUNG - 7KGS  – SILVER – A+","Neuf","Ouakam","Dakar","319 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6f9e6da66bcadc79c15590ec1421d442/-/horizon-files-prod/ed/picture/qzv2np2r/6e69851f03ca82ff9d0ca8c420ea950787790c75.jpg"
"1738596220-12","https://www.expat-dakar.com/machines-a-laver?page=74","MACHINE À LAVER 8KG A+++ ENDURO SILVER
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 13:47
                                    
                    229 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/machine-a-laver-8kg-a-enduro-silver-5440654","MACHINE À LAVER 8KG A+++ ENDURO SILVER","Neuf","Plateau","Dakar","229 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a1cea67619fd3c8d3c71baa9f44bda55/-/horizon-files-prod/ed/picture/qrzz8d25/c4be0fc1b59be918ab58db7fa40f088204761df6.jpg"
"1738596222-13","https://www.expat-dakar.com/machines-a-laver?page=74","MACHINE À LAVER 6KG COMFEE A+
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        2. janv., 11:20
                                    
                    184 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/machine-a-laver-6kg-comfee-a-5440638","MACHINE À LAVER 6KG COMFEE A+","Neuf","Plateau","Dakar","184 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7045c0ff2c0bdcb0eb9ae8c69f790670/-/horizon-files-prod/ed/picture/qpddmxk4/0bacaa5e0093061228fd957094ecbe38723ae749.jpg"
"1738596225-14","https://www.expat-dakar.com/machines-a-laver?page=74","MACHINE À LAVER 6KG ENDURO A+++
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 14:16
                                    
                    179 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/machine-a-laver-6kg-enduro-a-5474705","MACHINE À LAVER 6KG ENDURO A+++","Neuf","Plateau","Dakar","179 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/841a7dc9994bbfa790d763fdbc9de461/-/horizon-files-prod/ed/picture/qnggjxj9/bf86abeb5a0f233d0c61ab0510f90c8025685c22.jpg"
"1738596227-15","https://www.expat-dakar.com/machines-a-laver?page=74","MACHINE À LAVER 7KG ENDURO A+++
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 14:16
                                    
                    198 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/machine-a-laver-7kg-enduro-a-5474712","MACHINE À LAVER 7KG ENDURO A+++","Neuf","Plateau","Dakar","198 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b77a32c569881c5b5cdaafdfa4ee010/-/horizon-files-prod/ed/picture/qm55jpj9/8f7350e108a2d33c58b54ee3bdab1129807b65d6.jpg"
"1738596230-16","https://www.expat-dakar.com/machines-a-laver?page=74","MACHINE À LAVER 9KG ASTECH SILVER
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 13:47
                                    
                    239 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/machine-a-laver-9kg-astech-silver-5480411","MACHINE À LAVER 9KG ASTECH SILVER","Neuf","Plateau","Dakar","239 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/092d8ecc469b405459c5bc9751baac77/-/horizon-files-prod/ed/picture/qxjjkm2n/dd43fb496eec688ac7d7b15f16cf7dc93f3103cf.jpg"
"1738596233-17","https://www.expat-dakar.com/machines-a-laver?page=74","MACHINE A LAVER ASTECH 12KG MLG12C-V120C-CI
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 10:22
                                    
                    344 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/machine-a-laver-astech-12kg-mlg12c-v120c-ci-5492704","MACHINE A LAVER ASTECH 12KG MLG12C-V120C-CI","Neuf","Plateau","Dakar","344 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/57186c17f19de864adc1dc6547edb40a/-/horizon-files-prod/ed/picture/q9mmg76n/66ddfc178c201e740b2fd63d30a6dc73ef701647.jpg"
"1738596235-18","https://www.expat-dakar.com/machines-a-laver?page=74","MACHINE À LAVER ASTECH 7 KG MLG73V730DG
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        20. janv., 14:34
                                    
                    199 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/machine-a-laver-astech-7-kg-mlg73v730dg-5504985","MACHINE À LAVER ASTECH 7 KG MLG73V730DG","Neuf","Plateau","Dakar","199 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/731643f26351f99bb06c539db4be0992/-/horizon-files-prod/ed/picture/q566v7m2/bf5a76357f295b5c937e47da32a8db378ac78d02.jpg"
"1738596240-19","https://www.expat-dakar.com/machines-a-laver?page=73","MACHINE A LAVER IBERNA
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        lundi, 22:46
                                    
                    189 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/machine-a-laver-iberna-5511490","MACHINE A LAVER IBERNA","Neuf","Plateau","Dakar","189 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fdf07b191e86d30c9932faefebe49da9/-/horizon-files-prod/ed/picture/qv44q0kg/1974363b563a92852ea2db18e8f1ea9c8804265f.jpg"
"1738596243-20","https://www.expat-dakar.com/machines-a-laver?page=73","MACHINE A LAVER INDESIT
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        lundi, 22:45
                                    
                    209 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/machine-a-laver-indesit-5511511","MACHINE A LAVER INDESIT","Neuf","Plateau","Dakar","209 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f58999d3f15dbd1f45e7e1a41e3d2e2f/-/horizon-files-prod/ed/picture/qxjjznq8/9225644f770bcb41727f46806a959aba83ef77a2.jpg"
"1738596246-21","https://www.expat-dakar.com/machines-a-laver?page=73","MACHINE A LAVER SAMSUNG 7KG WW 70T3010BS
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 10:21
                                    
                    289 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/machine-a-laver-samsung-7kg-ww-70t3010bs-5511530","MACHINE A LAVER SAMSUNG 7KG WW 70T3010BS","Neuf","Plateau","Dakar","289 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a1a94073d9703f3fe16444b724ed4b40/-/horizon-files-prod/ed/picture/q8vvd2nz/3530c5dd3f193d11fbb65e0e867664f1aca6e3b6.jpg"
"1738596248-22","https://www.expat-dakar.com/machines-a-laver?page=73","MACHINE A LAVER SAMSUNG 10KG WHITE WA10T5260BW TOP LAODER
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 10:37
                                    
                    294 000 F Cfa
                        
                        768882180","https://www.expat-dakar.com/annonce/machine-a-laver-samsung-10kg-white-wa10t5260bw-top-laoder-5517633","MACHINE A LAVER SAMSUNG 10KG WHITE WA10T5260BW TOP LAODER","Neuf","Plateau","Dakar","294 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2ad030b70acf64b435bba78bc433c6eb/-/horizon-files-prod/ed/picture/qxjjepjz/91ab3fc128d36eccf51362ab6263150dd18253d8.jpg"
